"1","Where does a foodie find a decent deli?","Looking for the best delis and shops in London for a proper foodie. I love the Lina Store in Soho for Italian. Others would be appreciated.","Deli, shops, foodie, Italian, food shop, soho,","http://www.facebook.com/profile.php?id=593025740","Silver","Georgia "
"2","Where are the 'noses of Soho'?","Apparently there are about a dozen ceramic noses of different sizes attached to buildings in Soho - does anyone know where specifically?","sculpture, art, soho, central london, noses","http://www.facebook.com/profile.php?id=684075462","AG","Charlotte"
"3","Any unmissable poetry and prose open mic nights to go to?","Hey, I'm looking for open mic nights for poetry and short prose of good quality (had a few instances of 'bedroom poetry' sessions). Any ideas on existing places or should I just say 'screw it' and make one happen (in that case, venue ideas)? Love and peas.","Poetry, Prose, open mic, art","http://www.facebook.com/profile.php?id=662070028","Rob","Chris"
"4","Cheap bowling alleys?","Does anyone know of any cheap bowling lanes. Not Allstars? Apparently they get booked about seven to eight weeks in advance, and I need one soon! Any ideas?","Bowling, alleys, lanes,","http://www.facebook.com/profile.php?id=100000560152255","Jasbir","Jamie"
"5","Lovely but quirky event spaces needed!","I'm planning a dinner for around 120 people so I need an event space. I really want a quirky, stunning and altogether interesting space. Any suggestions?","venue, event, art space, for hire, food, party","http://www.facebook.com/profile.php?id=60502564","Caroline","Rob"
"6","Where can I go sky diving?","Can anyone recommend somewhere for a group to go sky diving for my birthday?  Anyone recommend any discounts or deals?  We are all beginners.","sky diving, experience, group, birthday, party, sport","http://www.facebook.com/profile.php?id=602755114","Sabrina","Alasdair"
"7","Best Turkish restaurants in London?","Where do you go for good, authentic, Turkish food in London?  Especially for Lahmacun and Doner Kebabs.","Turkish, food, authentic, kebab, lahmacun, restaurants, cafes","http://www.facebook.com/profile.php?id=658452580","Laura","Alasdair"
"8","Which other websites do secretlondon users recommend?","My favourite Secret London website is Passages and Alleyways.  What are yours?","secretlondon, website, guide","http://www.facebook.com/profile.php?id=553548383","Graham","zoe"
"9","Has anybody got a vacant exhibition space for hire?","I want to host an exhibition in a pop up space.  Does anyone know of any vacant spaces?","exhibition, art, venue, gallery, for hire, art","http://www.facebook.com/profile.php?id=504254863","Lara","zoe"
"10","What's the best restaurant on Drury Lane?","Any recommendations on a lovely 'unknown' restaurant in the area of Drury Lane? hoping for something a little different from Cafe Rouge, Sapori or Lock Fyne.","undiscovered, restuarant, drury lane, quality, food, meals","http://www.facebook.com/profile.php?id=532060260","Liz","Julia"
"12","Anyone know a hot retro/indie disco club?","I'd love to find a brilliant 'best of 90s to current' disco/club but they all seem to be fetish-type emo gigs - not my thing :( Hoping to find somewhere with a great atmosphere with cool people and a rocking vibe. Any ideas? Thank you!","Disco, club, dance, retro, music, night out, indie","http://www.facebook.com/profile.php?id=593025740","Silver","Julia"
"14","I want to visit graveyards in London. Where should I go?","I seriously want to find some good graveyards in London. Is anyone else interested in this? Does anyone have any suggestions?","graveyard, church, spooky, ghosts, weird, free","http://www.facebook.com/profile.php?id=899880001","Simon","Georgia"
"15","I love pie and mash. Where to?","It's a favourite. Anyone know a good pie and mash shop? Cheers :)","Pie, Mash, Meals, Food, Shop, Restuarant, Eating, cafe, traditional ","http://www.facebook.com/profile.php?id=693581662","Paul","Julia"
"16","Where can I spot celebs in London?","Has anyone else spotted celebrities in random places? Last Saturday I saw Hugh Grant in a bar near me! Anyone other recommended celebrity haunts?","celebrities, famous people, spotting, stars, bars, restaurants","http://www.facebook.com/profile.php?id=1610010020","Edd","Julia"
"18","Can anyone recommended a central London dance studio for hire?","Can anyone recommend any good central London dance studios - other than the usual Danceworks or Pineapple - that could be hired at weekends or for evenings? In particular, ones that take evening block bookings. Cheers!","dance, studio, hire, central London, group, sport","http://www.facebook.com/profile.php?id=504376871","Ellie","zoe"
"19","I want amazing cake in Notting Hill","I'm meeting my friend in Notting Hill tomorrow for lunch, coffee and cake eating! Anyone know of anywhere spectacular that won't burn a hole in the pocket! Any suggestions appreciated.","Coffee, cafe, cake, tea, cheap, West London, Notting Hill","http://www.facebook.com/profile.php?id=1618830014","Sarah","Chris"
"20","Where's a good venue for a charity event?","I am planning a fundraising event for the Neuro-disability center at the Royal Hospital in Putney.  What good venues are there for this event around Putney?  Thanks guys!","charity, event, venue, putney, hospital, hire, West london","http://www.facebook.com/profile.php?id=100000088614250","Laura","Alasdair"
"21","Where can I find a quiet, central London pub?","Looking for somewhere to host an evening combining drinking with a poetry recital, midweek in central London.  Would need to have a reasonably quiet/private are so people can hear each other.  What would you suggest?","pub, quiet, central, poetry, drinks, central London","http://www.facebook.com/profile.php?id=732913922","Michael","Alasdair"
"22","Which comedy nights will make a first-timer laugh out loud?","Hi I've never been to a comedy night before, so I'm looking for a good one to go on a Friday. Is the Comedy Store any good?","Comedy, Fridays, club, laugh, funny, ","http://www.facebook.com/profile.php?id=223101991","Claudia","Jamie"
"23","Where are the best all you can eat restaurants in London?","I know of one called kitchin-N1 where the lunch buffet is not great, but the dinner buffet is awesome - can anyone suggest others?","all you can eat, restaurant, buffet, food, north London","http://www.facebook.com/profile.php?id=60502303","KG","Charlotte"
"25","Where can I find an apres club?","I'm looking for somewhere to go after a bar or club; somewhere that serves food and drink. Late night coffee haunts and hotels welcome.","cafe, club, drinks, alcohol, food, after hours, 24 hours, open late, last orders, hotel, bar","http://www.facebook.com/profile.php?id=514894808","Kavi","Anna"
"26","Find me a flipping good craperie!","Does anyone know of any great craperies or pancake places? London seems to be missing them.","pancakes, breakfast, morning, crapes, food","http://www.facebook.com/profile.php?id=553800795","Tom","Rob"
"29","I want to host a power ballad night and need a bar to host it in. Who knows one?","I want to organize a power ballad sing along that is open to all. Need to find a bar to have us all, ideally with a piano, or else with space for a keyboard and some mics. Would love to have a central, east, or north London location. Any recommendations?","venue, bar, karaoke, club, sing along, power ballad, hire","http://www.facebook.com/profile.php?id=895170460","Laura","zoe"
